ObjectID,GlobalID,Surface temperature,Surface type,Shade,Tree density,CreationDate,x,y
40,7cd9a91d-7b2a-497e-b007-9eaf6f365392,34.1,Turf grass,No shade,0,7/27/2026 15:13,-71.11989573,42.40608595
74,9258b3a4-150c-449f-8c89-925f8ec10b64,34.1,Turf grass,No shade,1,7/27/2026 15:16,-71.1205887,42.40651919
171,8635efe7-650b-4a9c-a918-921cb7ad5961,34.1,Turf grass,No shade,1,7/27/2026 15:25,-71.11874147,42.40690708
306,8d69e2dc-1e59-4d0b-9c17-003b025352ba,34.1,Turf grass,No shade,0,7/27/2026 15:34,-71.11908143,42.4069639
110,55111dc6-b55b-4f82-89f5-e48ccbc2290b,34,Turf grass,Partial shade,1,7/27/2026 15:19,-71.11925193,42.40679613
135,e852c58f-3584-47ba-9da5-bfa23dd78d58,34,Turf grass,No shade,1,7/27/2026 15:22,-71.11914459,42.40720947
35,43c44c00-6e66-4730-bddf-80498db988b1,33.8,Turf grass,No shade,0,7/27/2026 15:12,-71.12049107,42.40633791
61,8cb2ffbf-6d39-41ca-ad1f-99d1f0a86c90,33.6,Turf grass,No shade,1,7/27/2026 15:15,-71.11984001,42.40643604
251,c33bc250-4e2c-414c-9fe2-0eec174a4837,33.6,Turf grass,No shade,1,7/27/2026 15:30,-71.11972484,42.40622072
52,3fbc1571-b932-444b-942a-db173706eca2,33.5,Turf grass,No shade,1,7/27/2026 15:14,-71.11976398,42.40619554
152,40901d1e-c060-436e-8b89-fbfec99c3491,33.5,Turf grass,No shade,0,7/27/2026 15:23,-71.11981407,42.40778276
324,22979a63-5769-4802-b2d8-85f9dd48164c,33.5,Impervious (light-colored),Partial shade,1,7/27/2026 15:40,-71.12030917,42.405967
202,ae03cb2c-4bbf-4fad-9808-6054c1deb7c9,33.3,Impervious (dark-colored),Partial shade,0,7/27/2026 15:26,-71.11852044,42.40731378
137,9c21c9b8-bd15-4abb-b69e-43decfcf3856,33.2,Turf grass,No shade,1,7/27/2026 15:22,-71.11976894,42.40765796
187,70f24460-e4e1-429e-80b7-55887a603beb,33.1,Turf grass,No shade,0,7/27/2026 15:25,-71.11870838,42.40749843
285,0f73be64-94b9-4731-b19c-a84cb5736d55,33.1,Turf grass,No shade,1,7/27/2026 15:32,-71.11935386,42.40758871
144,cfbed04c-a513-421b-9987-c32f8fcc642b,33,Impervious (light-colored),Partial shade,1,7/27/2026 15:23,-71.12139317,42.40481723
78,7178daa8-1b6c-48fb-bcfa-4d1811d7a590,32.9,Turf grass,No shade,1,7/27/2026 15:16,-71.12015815,42.40669553
